,Sol,avg_duration,avg_peak,flare_count,aurora_count,target
437,2016-04-14,17.428571428571427,9.571428571428571,7,1,1
438,2016-04-15,20.714285714285715,8.857142857142858,7,1,1
439,2016-04-16,18.166666666666668,7.833333333333333,6,2,1
440,2016-04-17,16.6,7.8,5,3,1
441,2016-04-18,20.333333333333332,12.0,6,1,1
442,2016-04-19,16.6,9.4,5,0,0
443,2016-04-20,31.666666666666668,15.833333333333334,6,0,0
444,2016-04-21,31.25,11.75,4,0,0
445,2016-04-23,7.0,3.0,1,0,0
446,2016-04-24,9.0,5.0,2,0,0
447,2016-04-25,10.666666666666666,5.333333333333333,3,0,0
448,2016-04-26,9.7,4.9,10,0,0
449,2016-04-27,10.625,5.375,8,0,0
450,2016-04-28,9.222222222222221,5.0,9,0,0
451,2016-04-29,9.666666666666666,4.888888888888889,9,0,0
452,2016-04-30,17.22222222222222,9.11111111111111,9,0,0
453,2016-05-01,17.714285714285715,8.428571428571429,7,2,1
454,2016-05-02,16.666666666666668,9.0,3,8,1
455,2016-05-03,13.0,5.0,5,4,1
456,2016-05-04,16.0,8.2,5,0,0
457,2016-05-05,15.0,5.0,2,0,0
458,2016-05-06,14.5,5.0,2,0,0
459,2016-05-07,29.0,9.0,3,0,0
460,2016-05-08,13.0,5.0,1,19,1
461,2016-05-09,14.75,8.25,4,2,1
462,2016-05-11,7.666666666666667,4.666666666666667,3,0,0
463,2016-05-12,7.333333333333333,3.3333333333333335,3,0,0
464,2016-05-13,6.25,3.5,4,0,0
465,2016-05-14,9.0,5.214285714285714,14,0,0
466,2016-05-15,33.25,13.333333333333334,12,0,0
467,2016-05-16,8.625,4.125,8,0,0
468,2016-05-17,7.25,5.0,4,0,0
469,2016-05-18,15.0,6.0,1,0,0
470,2016-05-20,8.285714285714286,4.571428571428571,7,0,0
471,2016-05-21,9.0,4.0,4,0,0
472,2016-05-22,10.666666666666666,5.666666666666667,3,0,0
473,2016-05-23,7.714285714285714,3.857142857142857,7,0,0
474,2016-05-24,10.222222222222221,6.0,9,0,0
475,2016-05-25,16.0,8.5,2,0,0
476,2016-05-26,8.75,4.5,4,0,0
477,2016-05-27,30.0,15.5,2,0,0
478,2016-05-28,17.0,5.0,2,1,1
479,2016-05-29,38.5,16.25,4,0,0
480,2016-05-30,10.0,5.333333333333333,6,0,0
481,2016-05-31,11.0,5.0,2,0,0
482,2016-06-01,17.666666666666668,7.666666666666667,3,0,0
483,2016-06-07,26.0,17.0,1,0,0
484,2016-06-08,24.0,12.0,1,0,0
485,2016-06-09,9.88888888888889,5.555555555555555,9,0,0
486,2016-06-10,11.0,6.2,5,0,0
487,2016-06-11,24.2,14.6,10,0,0
488,2016-06-12,13.25,5.75,4,0,0
489,2016-06-13,22.666666666666668,11.333333333333334,6,0,0
490,2016-06-15,13.666666666666666,5.333333333333333,3,0,0
491,2016-06-16,10.555555555555555,5.0,9,0,0
492,2016-06-17,11.166666666666666,5.666666666666667,6,0,0
493,2016-06-18,11.5,7.5,4,0,0
494,2016-06-19,67.33333333333333,26.333333333333332,3,0,0
495,2016-06-20,20.0,11.0,1,0,0
496,2016-06-21,191.5,80.0,2,0,0
497,2016-06-24,33.0,15.5,2,1,1
498,2016-06-25,63.0,31.666666666666668,3,0,0
499,2016-06-26,15.333333333333334,5.333333333333333,3,0,0
500,2016-06-27,32.5,15.5,2,0,0
501,2016-06-29,34.0,17.0,1,0,0
502,2016-07-02,10.0,5.0,1,0,0
503,2016-07-03,28.0,8.5,2,0,0
504,2016-07-04,28.0,9.0,2,0,0
505,2016-07-05,440.0,157.0,1,0,0
506,2016-07-07,26.6,11.0,5,1,1
507,2016-07-08,18.857142857142858,12.142857142857142,7,1,1
508,2016-07-09,12.0,8.666666666666666,3,0,0
509,2016-07-10,9.0,5.0,3,0,0
510,2016-07-11,10.0,6.0,1,0,0
511,2016-07-12,9.0,4.0,1,0,0
512,2016-07-13,57.0,39.0,2,0,0
513,2016-07-14,5.0,3.0,1,0,0
514,2016-07-15,6.625,3.25,8,0,0
515,2016-07-16,15.4375,7.625,16,0,0
516,2016-07-17,99.85714285714286,56.42857142857143,7,0,0
517,2016-07-18,17.0,9.5,2,0,0
518,2016-07-19,82.83333333333333,52.666666666666664,6,0,0
519,2016-07-20,24.363636363636363,8.363636363636363,11,8,1
520,2016-07-21,11.238095238095237,5.761904761904762,21,0,0
521,2016-07-22,17.0,8.857142857142858,7,0,0
522,2016-07-23,15.333333333333334,9.583333333333334,12,0,0
523,2016-07-24,16.666666666666668,8.6,15,0,0
524,2016-07-25,17.333333333333332,7.666666666666667,3,1,1
525,2016-07-26,24.1,10.1,10,0,0
526,2016-07-28,7.0,4.0,1,0,0
527,2016-07-30,21.0,14.0,1,0,0
528,2016-07-31,31.0,15.0,1,0,0
529,2016-08-04,6.5,4.5,2,0,0
530,2016-08-05,12.363636363636363,6.2727272727272725,11,0,0
531,2016-08-06,63.75,23.0,4,0,0
532,2016-08-07,12.818181818181818,6.363636363636363,11,0,0
533,2016-08-08,34.44444444444444,12.444444444444445,9,0,0
534,2016-08-09,12.75,6.625,8,0,0
535,2016-08-10,19.2,10.4,5,0,0
536,2016-08-11,13.5,5.75,4,0,0
537,2016-08-12,20.0,11.0,5,0,0
538,2016-08-13,13.0,5.0,2,0,0
539,2016-08-14,11.4,6.6,5,0,0
540,2016-08-15,12.0,6.0,1,0,0
541,2016-08-16,16.0,10.0,1,0,0
542,2016-08-17,9.0,4.5,2,0,0
543,2016-08-18,6.0,3.0,1,0,0
544,2016-08-20,16.0,9.0,1,0,0
